,date,date_utc,open,high,low,close,volume
227,03-06-2023,1678130100,194.95,194.97,194.11,194.55,3398887
228,03-06-2023,1678131000,194.54,195.3,194.48,195.18,3538813
229,03-06-2023,1678131900,195.19,195.24,194.52,194.77,3496802
230,03-06-2023,1678132800,194.78,195.5,194.53,194.94,4087390
231,03-06-2023,1678133700,194.9,195.0,194.21,194.32,3475731
232,03-06-2023,1678134600,194.32,195.06,194.06,194.93,3560869
233,03-06-2023,1678135500,194.93,195.15,193.65,193.83,5163897
234,03-07-2023,1678199400,191.38,192.39,190.32,191.03,11680328
235,03-07-2023,1678200300,191.0,191.75,190.01,190.06,6407957
236,03-07-2023,1678201200,190.05,190.05,186.1,188.15,14107825
237,03-07-2023,1678202100,188.15,188.98,187.25,188.96,8141748
238,03-07-2023,1678203000,188.95,191.44,188.57,190.29,10013228
239,03-07-2023,1678203900,190.28,190.83,188.9,188.96,6697389
240,03-07-2023,1678204800,188.97,190.25,188.62,189.85,5507616
241,03-07-2023,1678205700,189.85,190.35,189.02,189.04,4682895
242,03-07-2023,1678206600,189.05,190.05,188.95,189.89,4054837
243,03-07-2023,1678207500,189.87,190.08,189.15,189.22,3273298
244,03-07-2023,1678208400,189.23,190.18,189.08,189.63,3016956
245,03-07-2023,1678209300,189.6,192.48,189.47,191.96,6419605
246,03-07-2023,1678210200,191.96,192.81,191.69,192.68,4979760
247,03-07-2023,1678211100,192.67,194.2,192.63,193.4,6319477
248,03-07-2023,1678212000,193.38,193.68,192.28,192.46,4221554
249,03-07-2023,1678212900,192.44,192.68,191.93,192.38,3476025
250,03-07-2023,1678213800,192.35,192.9,190.8,190.88,3950673
251,03-07-2023,1678214700,190.87,191.13,190.41,190.95,3678174
252,03-07-2023,1678215600,190.97,191.44,190.66,191.21,2873910
253,03-07-2023,1678216500,191.19,191.57,189.52,189.64,4328255
254,03-07-2023,1678217400,189.65,189.98,189.15,189.29,3525808
255,03-07-2023,1678218300,189.3,189.98,188.42,189.07,4388144
256,03-07-2023,1678219200,189.05,189.86,188.94,189.57,4019444
257,03-07-2023,1678220100,189.58,190.19,188.54,188.63,4190255
258,03-07-2023,1678221000,188.63,189.63,188.3,189.31,4351675
259,03-07-2023,1678221900,189.32,189.33,187.44,187.68,6358085
260,03-08-2023,1678285800,185.04,186.5,182.36,182.38,18353447
261,03-08-2023,1678286700,182.36,182.87,180.66,181.43,12444485
262,03-08-2023,1678287600,181.44,182.2,180.0,181.02,11625200
263,03-08-2023,1678288500,180.97,182.69,180.26,181.86,8554722
264,03-08-2023,1678289400,181.86,182.6,180.92,181.48,6874098
265,03-08-2023,1678290300,181.51,182.68,180.76,182.39,6574722
266,03-08-2023,1678291200,182.75,183.3,182.06,182.66,5940251
267,03-08-2023,1678292100,182.68,182.9,181.65,181.81,4786202
268,03-08-2023,1678293000,181.83,181.9,180.77,181.52,5173879
269,03-08-2023,1678293900,181.52,182.35,181.35,181.92,4011663
270,03-08-2023,1678294800,181.94,182.54,181.52,182.04,3754544
271,03-08-2023,1678295700,182.02,182.22,181.09,181.26,2758247
272,03-08-2023,1678296600,181.27,181.59,180.79,181.08,3166541
273,03-08-2023,1678297500,181.07,181.4,180.32,180.72,4006917
274,03-08-2023,1678298400,180.72,181.13,180.0,180.76,4937998
275,03-08-2023,1678299300,180.74,180.97,180.27,180.38,2738848
276,03-08-2023,1678300200,180.4,181.36,180.22,180.59,3796659
277,03-08-2023,1678301100,180.56,181.16,180.34,180.64,3036529
278,03-08-2023,1678302000,180.68,182.18,180.61,181.71,4979825
279,03-08-2023,1678302900,181.72,182.07,181.33,182.04,3619808
280,03-08-2023,1678303800,182.02,182.58,181.43,181.97,4334923
281,03-08-2023,1678304700,181.96,182.25,181.64,181.96,3317571
282,03-08-2023,1678305600,181.94,182.12,180.75,180.84,4270572
283,03-08-2023,1678306500,180.82,181.08,180.15,180.51,4691846
284,03-08-2023,1678307400,180.51,182.12,180.49,182.02,5288023
285,03-08-2023,1678308300,182.04,182.39,181.55,182.05,6334449
286,03-09-2023,1678372200,180.25,183.99,180.0,183.82,18908193
287,03-09-2023,1678373100,183.83,185.18,183.05,183.44,10880624
288,03-09-2023,1678374000,183.44,183.87,181.33,181.71,9850725
289,03-09-2023,1678374900,181.69,182.08,180.71,182.05,7879864
290,03-09-2023,1678375800,182.08,183.24,181.88,183.07,6368348
291,03-09-2023,1678376700,183.07,183.25,181.31,181.34,4948037
292,03-09-2023,1678377600,181.33,181.71,180.96,181.53,4225046
293,03-09-2023,1678378500,181.55,181.93,180.73,180.98,4258113
294,03-09-2023,1678379400,180.97,181.74,180.95,181.31,3756103
295,03-09-2023,1678380300,181.3,181.86,180.8,181.03,3784248
296,03-09-2023,1678381200,181.04,181.17,179.13,179.47,6881681
297,03-09-2023,1678382100,179.46,180.1,179.02,180.0,4050360
298,03-09-2023,1678383000,180.0,180.44,179.01,179.05,4595632
299,03-09-2023,1678383900,179.05,179.1,177.82,178.43,5526259
300,03-09-2023,1678384800,178.44,179.35,178.16,178.23,4113719
301,03-09-2023,1678385700,178.23,178.87,177.61,178.02,4241023
302,03-09-2023,1678386600,178.03,178.08,176.47,177.35,5816858
303,03-09-2023,1678387500,177.34,177.39,176.35,176.76,4258697
304,03-09-2023,1678388400,176.75,176.91,175.51,176.36,5733031
305,03-09-2023,1678389300,176.35,177.55,176.11,176.99,4679215
306,03-09-2023,1678390200,176.99,177.38,176.17,177.04,4158226
307,03-09-2023,1678391100,177.03,177.21,175.81,175.96,4076162
308,03-09-2023,1678392000,175.97,176.26,175.14,175.31,4911483
309,03-09-2023,1678392900,175.32,175.32,173.02,173.67,9717029
